Youtube	Spotify
Fujii Kaze	Fujii Kaze
Yakusoku	約束
Eve	Eve
風に薫る夏の記憶	風に薫る夏の記憶
AAA	AAA
Love Forever	Love Forever
Eito	Eito
yama	yama
One	ONE
Mukai Taichi	Taichi Mukai
Don't Lie	Don't Lie
Taichi Mukai	Taichi Mukai
Blue	Blue
Mukai Taichi	Taichi Mukai
Fever Feat. YAMORI (feat. YAMORI)	Fever
Taichi Mukai	Taichi Mukai
Michi	道
Mukai Taichi	Taichi Mukai
Comedy	Comedy
Gen Hoshino	Gen Hoshino
Ahh-ah	あーあ。
ReN	ReN
Myra	Myra
Tani Yuuki	Tani Yuuki
花が咲く道	花が咲く道
THE CHARM PARK	THE CHARM PARK
Drown In The Night	夜に溺れる
Mitei no Hanashi	Mitei no Hanashi
Yonaga Uta	Yonaga Uta
KAMI WA SAIKORO WO FURANAI	KAMI WA SAIKORO WO FURANAI
Ongakunoyouni	音楽のように
I Don't Like Mondays.	I Don't Like Mondays.
Mizukiri-piano version-	ミズキリ-piano ver.-
Yuuri	Yuuri
Aitoka Koitoka	愛とか恋とか
Novelbright	Novelbright
BETELGEUSE	ベテルギウス
Yuuri	Yuuri
東京エキストラ	東京エキストラ
I Don't Like Mondays.	I Don't Like Mondays.
BAKA	馬鹿
I Don't Like Mondays.	I Don't Like Mondays.
Time Machine	タイムマシン
Yuuri	Yuuri
Rakuen	楽園
Mukai Taichi	Taichi Mukai
Plastic City	Plastic City
I Don't Like Mondays.	I Don't Like Mondays.
Omokage (produced by Vaundy)	おもかげ (produced by Vaundy)
milet	milet
Aimer	Aimer
Lilas Ikuta	Lilas Ikuta
Sunflower	Sunflower
I Don't Like Mondays.	I Don't Like Mondays.
Answer	Answer
幾田りら	Lilas Ikuta
gift	gift
I Don't Like Mondays.	I Don't Like Mondays.
heartbeat	心音
Omoinotake	Omoinotake
夢花火	夢花火
Novelbright	Novelbright
Evening Primrose	ツキミソウ
Novelbright	Novelbright
Chijouwoyumemirusakana	地上を夢見る魚
I Don't Like Mondays.	I Don't Like Mondays.
Koikaze ni nosete	恋風邪にのせて
Vaundy	Vaundy
Utsusemi	空蝉
Omoinotake	Omoinotake
Tokyo cruisin'	東京cruisin'
tonun	tonun
norarikurari	ノラリ・クラリ
I Don't Like Mondays.	I Don't Like Mondays.
Infinity	インフィニティ
Yuuri	Yuuri
Soranoaosanimiserarete	空の青さにみせられて
I Don't Like Mondays.	I Don't Like Mondays.
Lost	Lost
yama	yama
Hagan	Hagan
Official HIGE DANdism	OFFICIAL HIGE DANDISM
HONNE	HONNE
I Don't Like Mondays.	I Don't Like Mondays.
ENTERTAINER	ENTERTAINER
I Don't Like Mondays.	I Don't Like Mondays.
AITAI	AITAI
I Don't Like Mondays.	I Don't Like Mondays.
saboten	サボテン
I Don't Like Mondays.	I Don't Like Mondays.
ミレニアルズ - just I thought -	ミレニアルズ 〜just I thought〜
I Don't Like Mondays.	I Don't Like Mondays.
Super Special	Super Special
I Don't Like Mondays.	I Don't Like Mondays.
doze off	doze off
tonun	tonun
Blue Spring	Blue Spring
tonun	tonun
Virgin Hair	Virgin Hair
tonun	tonun
Tag	おにごっこ
Luv key	Luv key
tonun	tonun
Kiss You Tonight	Kiss You Tonight
tonun	tonun
Wake Up Sunday Morning	Wake Up Sunday Morning
tonun	tonun
Last Love Magic	Last Love Magic
tonun	tonun
Lonely Lonely day	Lonely Lonely day
tonun	tonun
Amber Bare Skin	Amber Bare Skin
tonun	tonun
Midsummer Love	真夏の恋は気まぐれ
tonun	tonun
Believe	Believe
MONKEY MAJIK × 瑛人	Eito, Monkey Majik
Tarinai Sukunai (feat. Lilas Ikuta)	たりないすくない
Fujifabric	Fujifabric
Spotlight	SPOTLIGHT
eill	eill
LEVEL	LEVEL
やなぎなぎ	yanaginagi
THE SIXTH LIE	THE SIXTH LIE
あのねこの話 feat. クボタカイ	あのねこの話 - feat. クボタカイ
みゆな	みゆな
Pilot	Pilot
Taichi Mukai	Taichi Mukai
Mouichido	Mouichido
